what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1270552812009
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1270552812010
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1270552812011
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1270552812012
os,sysinfo,,,"win32",1270552812016
arch,sysinfo,,,"x86",1270552812016
ws,sysinfo,,,"win32",1270552812016
locale,sysinfo,,,"nl_NL",1270552812016
processors,sysinfo,,,"2",1270552812016
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270552812016
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1270552812016
java.specification.name,sysinfo,,,"Java Platform API Specification",1270552812016
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270552812016
java.specification.version,sysinfo,,,"1.6",1270552812016
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270552812016
java.version,sysinfo,,,"1.6.0_11",1270552812016
java.vm.info,sysinfo,,,"mixed mode",1270552812016
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270552812016
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270552812016
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270552812016
java.vm.specification.version,sysinfo,,,"1.0",1270552812016
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270552812016
java.vm.version,sysinfo,,,"11.0-b16",1270552812016
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552814397
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552862646
